iter	RMSE
0	285988.8217
1	264586.2333
2	249062.5735
3	237689.04
4	228404.2201
5	221351.1606
6	215764.5132
7	211475.3171
8	207748.9236
9	205231.719
10	202884.4561
11	200698.3088
12	197886.4121
13	195826.5881
14	195101.4796
15	193627.7147
16	191111.9061
17	190582.7131
18	189704.7562
19	188518.3379
20	187042.6852
21	186668.7419
22	186209.1962
23	184614.7472
24	183560.4805
25	182755.8864
26	182231.4402
27	180824.0042
28	180276.6773
29	179599.5256
30	179460.1616
31	178579.1468
32	178109.6332
33	177746.4923
34	176301.3425
35	175919.7379
36	175913.4521
37	175869.6572
38	175792.7553
39	175779.1458
40	174433.8007
41	174114.4624
42	174106.2162
43	173467.2471
44	173077.9547
45	172642.716
46	172314.2628
47	171246.0288
48	171217.568
49	170493.4997
50	169592.4035
51	169142.4833
52	169077.1085
53	168388.8914
54	168243.8261
55	167958.9984
56	167646.7371
57	167627.1795
58	167190.9908
59	166981.9403
60	166064.2079
61	165966.6025
62	165439.9436
63	164709.5309
64	164131.6278
65	163901.4063
66	163881.5149
67	163730.3746
68	163653.3264
69	163590.8162
70	163126.7541
71	162356.1669
72	162054.4731
73	161889.957
74	161649.6827
75	161480.1738
76	160781.8588
77	160098.8063
78	160088.3479
79	160048.5972
80	159827.1063
81	159626.2025
82	159009.034
83	158871.4152
84	158432.7589
85	158370.2334
86	158214.5501
87	158165.361
88	157916.7035
89	157894.4607
90	157736.5537
91	157579.4738
92	157427.5286
93	157214.9193
94	156692.3759
95	156666.8465
96	156157.0786
97	155890.113
98	155831.3473
