iter	Passed	Remaining
0	181	1449555
1	402	1608565
2	609	1623061
3	799	1597691
4	994	1589695
5	1201	1599298
6	1412	1611777
7	1574	1571737
8	1788	1586483
9	2021	1614226
10	2226	1616025
11	2452	1631371
12	2659	1632629
13	2878	1640747
14	3014	1603577
15	3208	1599816
16	3398	1594743
17	3611	1600409
18	3812	1600298
19	3982	1587704
20	4209	1598083
21	4436	1607704
22	4609	1597327
23	4788	1590196
24	4998	1593197
25	5194	1591766
26	5370	1584669
27	5575	1586097
28	5767	1584190
29	5952	1580289
30	6157	1581682
31	6372	1585627
32	6623	1597926
33	6816	1595911
34	7006	1593175
35	7171	1585359
36	7369	1584832
37	7581	1587246
38	7771	1585267
39	7931	1577208
40	8130	1577201
41	8333	1577872
42	8469	1566158
43	8652	1563272
44	8882	1568967
45	9108	1573710
46	9321	1576086
47	9492	1571437
48	9694	1571900
49	9971	1584221
50	10210	1590234
51	10445	1595319
52	10654	1596326
53	10889	1601133
54	11128	1606349
55	11334	1606636
56	11541	1607160
57	11779	1611707
58	11985	1611944
59	12184	1611181
60	12374	1609312
61	12527	1602681
62	12734	1603111
63	12942	1603631
64	13148	1603966
65	13358	1604606
66	13537	1601696
67	13701	1597075
68	13873	1593417
69	13999	1584781
70	14266	1592012
71	14480	1593287
72	14690	1594063
73	14897	1594469
74	15103	1594755
75	15207	1584422
76	15416	1585114
77	15611	1584367
78	15817	1584780
79	16038	1586623
80	16228	1585347
81	16434	1585712
82	16642	1586292
83	16825	1584403
84	17017	1583460
85	17171	1579002
86	17377	1579347
87	17450	1567728
88	17601	1563390
89	17712	1555545
90	17884	1553209
91	18135	1557716
92	18331	1557366
93	18507	1555432
94	18707	1555463
95	18895	1554528
96	19087	1553962
97	19257	1551605
98	19487	1554055
