,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,variable,motivo
351,1.0,1.0,,23.0,23.0,72000.0,Departamento,bathrooms,Descartado por dato faltante
360,1.0,1.0,,14.0,14.0,27000.0,Departamento,bathrooms,Descartado por dato faltante
438,4.0,3.0,,88.0,88.0,192000.0,Departamento,bathrooms,Descartado por dato faltante
573,2.0,1.0,,25.0,23.0,70000.0,Departamento,bathrooms,Descartado por dato faltante
614,1.0,0.0,,38.0,32.0,85000.0,Departamento,bathrooms,Descartado por dato faltante
655,2.0,1.0,,41.0,41.0,85000.0,Departamento,bathrooms,Descartado por dato faltante
678,2.0,1.0,,50.0,45.0,232900.0,Departamento,bathrooms,Descartado por dato faltante
721,2.0,1.0,,40.0,40.0,87000.0,Departamento,bathrooms,Descartado por dato faltante
887,3.0,2.0,,53.0,53.0,106000.0,Departamento,bathrooms,Descartado por dato faltante
1003,4.0,3.0,,67.0,63.0,169000.0,Departamento,bathrooms,Descartado por dato faltante
1448,3.0,2.0,,55.0,55.0,150000.0,Departamento,bathrooms,Descartado por dato faltante
1647,1.0,1.0,,26.0,26.0,75000.0,Departamento,bathrooms,Descartado por dato faltante
1649,2.0,1.0,,34.0,34.0,90000.0,Departamento,bathrooms,Descartado por dato faltante
1829,3.0,2.0,,67.0,67.0,215000.0,Departamento,bathrooms,Descartado por dato faltante
1835,3.0,2.0,,84.0,84.0,175000.0,Departamento,bathrooms,Descartado por dato faltante
2009,2.0,1.0,,41.0,41.0,105000.0,Departamento,bathrooms,Descartado por dato faltante
2331,2.0,1.0,,38.0,38.0,72000.0,Departamento,bathrooms,Descartado por dato faltante
2571,3.0,2.0,,143.0,105.0,440000.0,Departamento,bathrooms,Descartado por dato faltante
2983,1.0,1.0,,35.0,35.0,50000.0,Departamento,bathrooms,Descartado por dato faltante
3408,2.0,1.0,,67.0,67.0,130000.0,Departamento,bathrooms,Descartado por dato faltante
3941,1.0,0.0,,48.0,42.0,100000.0,Departamento,bathrooms,Descartado por dato faltante
4066,3.0,2.0,,79.0,79.0,210000.0,Departamento,bathrooms,Descartado por dato faltante
4086,3.0,2.0,,70.0,,110000.0,Departamento,bathrooms,Descartado por dato faltante
4179,4.0,3.0,,105.0,,180000.0,Departamento,bathrooms,Descartado por dato faltante
4283,2.0,1.0,,59.0,59.0,100000.0,Departamento,bathrooms,Descartado por dato faltante
4666,2.0,1.0,,38.0,38.0,72000.0,Departamento,bathrooms,Descartado por dato faltante
4766,1.0,1.0,,35.0,31.0,143000.0,Departamento,bathrooms,Descartado por dato faltante
4822,2.0,1.0,,45.0,44.0,125000.0,Departamento,bathrooms,Descartado por dato faltante
4876,3.0,2.0,,294.0,294.0,260000.0,PH,bathrooms,Descartado por dato faltante
4938,3.0,2.0,,55.0,55.0,100000.0,Departamento,bathrooms,Descartado por dato faltante
4942,3.0,2.0,,58.0,50.0,69000.0,Departamento,bathrooms,Descartado por dato faltante
5000,4.0,3.0,,217.0,217.0,380000.0,Casa,bathrooms,Descartado por dato faltante
5156,1.0,0.0,,40.0,40.0,75000.0,Departamento,bathrooms,Descartado por dato faltante
5222,2.0,1.0,,45.0,43.0,150000.0,Departamento,bathrooms,Descartado por dato faltante
5521,4.0,3.0,,82.0,68.0,180000.0,Departamento,bathrooms,Descartado por dato faltante
6126,4.0,3.0,,140.0,100.0,410000.0,PH,bathrooms,Descartado por dato faltante
6167,4.0,3.0,,116.0,,430000.0,Departamento,bathrooms,Descartado por dato faltante
6388,3.0,2.0,,75.0,75.0,295000.0,Departamento,bathrooms,Descartado por dato faltante
6494,6.0,5.0,,168.0,130.0,380000.0,PH,bathrooms,Descartado por dato faltante
7249,2.0,1.0,,40.0,40.0,87000.0,Departamento,bathrooms,Descartado por dato faltante
7388,8.0,7.0,,302.0,302.0,960000.0,Casa,bathrooms,Descartado por dato faltante
7658,1.0,0.0,,38.0,35.0,90931.0,Departamento,bathrooms,Descartado por dato faltante
7733,2.0,1.0,,55.0,48.0,126825.0,Departamento,bathrooms,Descartado por dato faltante
7735,1.0,1.0,,38.0,35.0,89100.0,Departamento,bathrooms,Descartado por dato faltante
7931,3.0,2.0,,82.0,72.0,200485.0,Departamento,bathrooms,Descartado por dato faltante
7932,3.0,2.0,,82.0,72.0,196500.0,Departamento,bathrooms,Descartado por dato faltante
8187,5.0,4.0,,105.0,140.0,220000.0,Casa,bathrooms,Descartado por dato faltante
9156,3.0,2.0,,98.0,98.0,519000.0,Departamento,bathrooms,Descartado por dato faltante
9157,3.0,2.0,,98.0,98.0,519000.0,Departamento,bathrooms,Descartado por dato faltante
9158,3.0,2.0,,98.0,98.0,519000.0,Departamento,bathrooms,Descartado por dato faltante
9159,3.0,2.0,,98.0,98.0,519000.0,Departamento,bathrooms,Descartado por dato faltante
9916,4.0,3.0,,184.0,174.0,690000.0,Departamento,bathrooms,Descartado por dato faltante
10423,2.0,1.0,,42.0,42.0,150750.0,Departamento,bathrooms,Descartado por dato faltante
10424,2.0,1.0,,62.0,46.0,215250.0,Departamento,bathrooms,Descartado por dato faltante
10425,2.0,1.0,,43.0,43.0,141900.0,Departamento,bathrooms,Descartado por dato faltante
10426,2.0,1.0,,43.0,43.0,144600.0,Departamento,bathrooms,Descartado por dato faltante
10427,2.0,1.0,,43.0,43.0,132300.0,Departamento,bathrooms,Descartado por dato faltante
10429,2.0,1.0,,43.0,43.0,136400.0,Departamento,bathrooms,Descartado por dato faltante
10430,2.0,1.0,,43.0,43.0,139150.0,Departamento,bathrooms,Descartado por dato faltante
10431,2.0,1.0,,43.0,43.0,129600.0,Departamento,bathrooms,Descartado por dato faltante
10432,2.0,1.0,,65.0,43.0,149900.0,Departamento,bathrooms,Descartado por dato faltante
10510,3.0,2.0,,,,390000.0,Departamento,bathrooms,Descartado por dato faltante
10681,4.0,3.0,,,,298000.0,Departamento,bathrooms,Descartado por dato faltante
10777,1.0,1.0,,35.0,35.0,99000.0,Departamento,bathrooms,Descartado por dato faltante
10805,3.0,2.0,,85.0,85.0,205000.0,PH,bathrooms,Descartado por dato faltante
10970,2.0,1.0,,5322.0,5322.0,285000.0,Departamento,bathrooms,Descartado por dato faltante
11114,3.0,2.0,,105.0,,260000.0,Departamento,bathrooms,Descartado por dato faltante
11301,1.0,0.0,,,,135000.0,Departamento,bathrooms,Descartado por dato faltante
11302,1.0,0.0,,,,199100.0,Departamento,bathrooms,Descartado por dato faltante
11304,1.0,0.0,,,,199100.0,Departamento,bathrooms,Descartado por dato faltante
11308,1.0,0.0,,,,144704.0,Departamento,bathrooms,Descartado por dato faltante
11324,1.0,0.0,,,,72500.0,Departamento,bathrooms,Descartado por dato faltante
11325,1.0,0.0,,,,72500.0,Departamento,bathrooms,Descartado por dato faltante
11326,1.0,0.0,,,,72000.0,Departamento,bathrooms,Descartado por dato faltante
11327,1.0,0.0,,,,85000.0,Departamento,bathrooms,Descartado por dato faltante
11338,1.0,0.0,,,,78000.0,Departamento,bathrooms,Descartado por dato faltante
11341,1.0,0.0,,,,78000.0,Departamento,bathrooms,Descartado por dato faltante
11343,1.0,0.0,,,,78000.0,Departamento,bathrooms,Descartado por dato faltante
11344,1.0,0.0,,,,95000.0,Departamento,bathrooms,Descartado por dato faltante
11346,1.0,0.0,,,,118000.0,Departamento,bathrooms,Descartado por dato faltante
11347,1.0,0.0,,,,109000.0,Departamento,bathrooms,Descartado por dato faltante
11348,1.0,0.0,,,,78000.0,Departamento,bathrooms,Descartado por dato faltante
11350,1.0,0.0,,,,80000.0,Departamento,bathrooms,Descartado por dato faltante
11357,2.0,1.0,,40.0,40.0,120000.0,PH,bathrooms,Descartado por dato faltante
11415,2.0,1.0,,,,125000.0,Departamento,bathrooms,Descartado por dato faltante
11424,2.0,1.0,,,,160000.0,Departamento,bathrooms,Descartado por dato faltante
11425,2.0,1.0,,,,160000.0,Departamento,bathrooms,Descartado por dato faltante
11427,2.0,1.0,,,,116000.0,Departamento,bathrooms,Descartado por dato faltante
11439,1.0,1.0,,,,209000.0,Departamento,bathrooms,Descartado por dato faltante
11494,2.0,1.0,,,,103000.0,Departamento,bathrooms,Descartado por dato faltante
11511,2.0,1.0,,,,150000.0,Departamento,bathrooms,Descartado por dato faltante
11516,2.0,1.0,,,,93000.0,Departamento,bathrooms,Descartado por dato faltante
11538,2.0,1.0,,,,133000.0,Departamento,bathrooms,Descartado por dato faltante
11547,2.0,1.0,,,,125000.0,Departamento,bathrooms,Descartado por dato faltante
11635,3.0,2.0,,,,222000.0,Departamento,bathrooms,Descartado por dato faltante
11638,3.0,2.0,,,,341000.0,Departamento,bathrooms,Descartado por dato faltante
11640,3.0,2.0,,,,222000.0,Departamento,bathrooms,Descartado por dato faltante
11642,3.0,2.0,,,,346000.0,Departamento,bathrooms,Descartado por dato faltante
11643,3.0,2.0,,,,222000.0,Departamento,bathrooms,Descartado por dato faltante
11644,3.0,2.0,,,,222000.0,Departamento,bathrooms,Descartado por dato faltante
11645,3.0,2.0,,,,168000.0,Departamento,bathrooms,Descartado por dato faltante
11646,3.0,2.0,,,,222000.0,Departamento,bathrooms,Descartado por dato faltante
11647,3.0,2.0,,,,168000.0,Departamento,bathrooms,Descartado por dato faltante
11648,3.0,2.0,,,,222000.0,Departamento,bathrooms,Descartado por dato faltante
11657,3.0,2.0,,,,180000.0,Departamento,bathrooms,Descartado por dato faltante
11685,3.0,2.0,,,,185000.0,Departamento,bathrooms,Descartado por dato faltante
11688,3.0,2.0,,,,175000.0,Departamento,bathrooms,Descartado por dato faltante
11691,3.0,2.0,,,,174000.0,Departamento,bathrooms,Descartado por dato faltante
11696,3.0,2.0,,,,179000.0,Departamento,bathrooms,Descartado por dato faltante
11701,3.0,2.0,,,,159000.0,Departamento,bathrooms,Descartado por dato faltante
11702,3.0,2.0,,,,150000.0,Departamento,bathrooms,Descartado por dato faltante
11703,3.0,2.0,,,,147000.0,Departamento,bathrooms,Descartado por dato faltante
11705,3.0,2.0,,,,126000.0,Departamento,bathrooms,Descartado por dato faltante
11745,3.0,2.0,,,,162000.0,Departamento,bathrooms,Descartado por dato faltante
11746,3.0,2.0,,,,163000.0,Departamento,bathrooms,Descartado por dato faltante
11747,3.0,2.0,,,,166000.0,Departamento,bathrooms,Descartado por dato faltante
11748,3.0,2.0,,,,165000.0,Departamento,bathrooms,Descartado por dato faltante
11749,3.0,2.0,,,,154000.0,Departamento,bathrooms,Descartado por dato faltante
11750,3.0,2.0,,,,148000.0,Departamento,bathrooms,Descartado por dato faltante
11751,3.0,2.0,,,,158000.0,Departamento,bathrooms,Descartado por dato faltante
11752,3.0,2.0,,,,175000.0,Departamento,bathrooms,Descartado por dato faltante
11810,4.0,3.0,,,,420000.0,Casa,bathrooms,Descartado por dato faltante
11824,4.0,3.0,,,,338000.0,Departamento,bathrooms,Descartado por dato faltante
11828,4.0,3.0,,,,424000.0,Departamento,bathrooms,Descartado por dato faltante
11829,4.0,3.0,,,,302500.0,Departamento,bathrooms,Descartado por dato faltante
11830,4.0,3.0,,,,302500.0,Departamento,bathrooms,Descartado por dato faltante
11831,4.0,3.0,,,,302500.0,Departamento,bathrooms,Descartado por dato faltante
11842,4.0,3.0,,,,257000.0,Departamento,bathrooms,Descartado por dato faltante
11855,4.0,3.0,,,,485000.0,Departamento,bathrooms,Descartado por dato faltante
11856,4.0,3.0,,,,415000.0,Departamento,bathrooms,Descartado por dato faltante
11858,4.0,3.0,,,,196500.0,Departamento,bathrooms,Descartado por dato faltante
11870,4.0,3.0,,,,221000.0,Departamento,bathrooms,Descartado por dato faltante
11871,4.0,3.0,,,,225000.0,Departamento,bathrooms,Descartado por dato faltante
11903,5.0,4.0,,,,498000.0,Departamento,bathrooms,Descartado por dato faltante
11926,1.0,0.0,,,,135000.0,Departamento,bathrooms,Descartado por dato faltante
11956,2.0,1.0,,,,80900.0,Departamento,bathrooms,Descartado por dato faltante
12174,4.0,3.0,,,,750000.0,Departamento,bathrooms,Descartado por dato faltante
12185,4.0,3.0,,,,131000.0,Departamento,bathrooms,Descartado por dato faltante
12237,2.0,1.0,,45.0,42.0,109500.0,Departamento,bathrooms,Descartado por dato faltante
12252,1.0,1.0,,50.0,39.0,138000.0,Departamento,bathrooms,Descartado por dato faltante
12253,1.0,1.0,,34.0,34.0,104000.0,Departamento,bathrooms,Descartado por dato faltante
12255,2.0,1.0,,49.0,49.0,119540.0,Departamento,bathrooms,Descartado por dato faltante
